row_index_0based,col_index_0based,row_vertex,col_vertex,value
0,0,0,0,5
0,1,0,1,1
0,3,0,3,1
0,6,0,6,1
0,8,0,8,1
0,32,0,32,1
1,0,1,0,1
1,1,1,1,3
1,2,1,2,1
1,4,1,4,1
2,1,2,1,1
2,2,2,2,5
2,5,2,5,1
2,11,2,11,1
2,14,2,14,1
2,39,2,39,1
3,0,3,0,1
3,3,3,3,3
3,4,3,4,1
3,20,3,20,1
4,1,4,1,1
4,3,4,3,1
4,4,4,4,5
4,5,4,5,1
4,17,4,17,1
4,46,4,46,1
5,2,5,2,1
5,4,5,4,1
5,5,5,5,3
5,21,5,21,1
6,0,6,0,1
6,6,6,6,3
6,7,6,7,1
6,22,6,22,1
7,6,7,6,1
7,7,7,7,5
7,53,7,53,1
7,60,7,60,1
7,67,7,67,1
7,68,7,68,1
8,0,8,0,1
8,8,8,8,3
8,9,8,9,1
8,10,8,10,1
9,8,9,8,1
9,9,9,9,5
9,69,9,69,1
9,76,9,76,1
9,83,9,83,1
9,84,9,84,1
10,8,10,8,1
10,10,10,10,5
10,85,10,85,1
10,92,10,92,1
10,99,10,99,1
10,100,10,100,1
11,2,11,2,1
11,11,11,11,3
11,12,11,12,1
11,13,11,13,1
12,11,12,11,1
12,12,12,12,5
12,101,12,101,1
12,108,12,108,1
12,115,12,115,1
12,116,12,116,1
13,11,13,11,1
13,13,13,13,5
13,117,13,117,1
13,124,13,124,1
13,131,13,131,1
13,132,13,132,1
14,2,14,2,1
14,14,14,14,3
14,15,14,15,1
14,16,14,16,1
15,14,15,14,1
15,15,15,15,5
15,133,15,133,1
15,140,15,140,1
15,147,15,147,1
15,148,15,148,1
16,14,16,14,1
16,16,16,16,5
16,149,16,149,1
16,156,16,156,1
16,163,16,163,1
16,164,16,164,1
17,4,17,4,1
17,17,17,17,3
17,18,17,18,1
17,19,17,19,1
18,17,18,17,1
18,18,18,18,5
18,165,18,165,1
18,172,18,172,1
18,179,18,179,1
18,180,18,180,1
19,17,19,17,1
19,19,19,19,5
19,181,19,181,1
19,188,19,188,1
19,195,19,195,1
19,196,19,196,1
20,3,20,3,1
20,20,20,20,5
20,197,20,197,1
20,204,20,204,1
20,211,20,211,1
20,212,20,212,1
21,5,21,5,1
21,21,21,21,5
21,213,21,213,1
21,220,21,220,1
21,227,21,227,1
21,228,21,228,1
22,6,22,6,1
22,22,22,22,5
22,23,22,23,1
22,26,22,26,1
22,29,22,29,1
22,229,22,229,1
23,22,23,22,1
23,23,23,23,3
23,24,23,24,1
23,25,23,25,1
24,23,24,23,1
24,24,24,24,5
24,236,24,236,1
24,243,24,243,1
24,250,24,250,1
24,251,24,251,1
25,23,25,23,1
25,25,25,25,5
25,252,25,252,1
25,259,25,259,1
25,266,25,266,1
25,267,25,267,1
26,22,26,22,1
26,26,26,26,3
26,27,26,27,1
26,28,26,28,1
27,26,27,26,1
27,27,27,27,5
27,268,27,268,1
27,275,27,275,1
27,282,27,282,1
27,283,27,283,1
28,26,28,26,1
28,28,28,28,5
28,284,28,284,1
28,291,28,291,1
28,298,28,298,1
28,299,28,299,1
29,22,29,22,1
29,29,29,29,3
29,30,29,30,1
29,31,29,31,1
30,29,30,29,1
30,30,30,30,5
30,300,30,300,1
30,307,30,307,1
30,314,30,314,1
30,315,30,315,1
31,29,31,29,1
31,31,31,31,5
31,316,31,316,1
31,323,31,323,1
31,330,31,330,1
31,331,31,331,1
32,0,32,0,1
32,32,32,32,7
32,33,32,33,1
32,34,32,34,1
32,35,32,35,1
32,36,32,36,1
32,37,32,37,1
32,38,32,38,1
33,32,33,32,1
33,33,33,33,1
34,32,34,32,1
34,34,34,34,1
35,32,35,32,1
35,35,35,35,1
36,32,36,32,1
36,36,36,36,1
37,32,37,32,1
37,37,37,37,1
38,32,38,32,1
38,38,38,38,1
39,2,39,2,1
39,39,39,39,7
39,40,39,40,1
39,41,39,41,1
39,42,39,42,1
39,43,39,43,1
39,44,39,44,1
39,45,39,45,1
40,39,40,39,1
40,40,40,40,1
41,39,41,39,1
41,41,41,41,1
42,39,42,39,1
42,42,42,42,1
43,39,43,39,1
43,43,43,43,1
44,39,44,39,1
44,44,44,44,1
45,39,45,39,1
45,45,45,45,1
46,4,46,4,1
46,46,46,46,7
46,47,46,47,1
46,48,46,48,1
46,49,46,49,1
46,50,46,50,1
46,51,46,51,1
46,52,46,52,1
47,46,47,46,1
47,47,47,47,1
48,46,48,46,1
48,48,48,48,1
49,46,49,46,1
49,49,49,49,1
50,46,50,46,1
50,50,50,50,1
51,46,51,46,1
51,51,51,51,1
52,46,52,46,1
52,52,52,52,1
53,7,53,7,1
53,53,53,53,7
53,54,53,54,1
53,55,53,55,1
53,56,53,56,1
53,57,53,57,1
53,58,53,58,1
53,59,53,59,1
54,53,54,53,1
54,54,54,54,1
55,53,55,53,1
55,55,55,55,1
56,53,56,53,1
56,56,56,56,1
57,53,57,53,1
57,57,57,57,1
58,53,58,53,1
58,58,58,58,1
59,53,59,53,1
59,59,59,59,1
60,7,60,7,1
60,60,60,60,7
60,61,60,61,1
60,62,60,62,1
60,63,60,63,1
60,64,60,64,1
60,65,60,65,1
60,66,60,66,1
61,60,61,60,1
61,61,61,61,1
62,60,62,60,1
62,62,62,62,1
63,60,63,60,1
63,63,63,63,1
64,60,64,60,1
64,64,64,64,1
65,60,65,60,1
65,65,65,65,1
66,60,66,60,1
66,66,66,66,1
67,7,67,7,1
67,67,67,67,1
68,7,68,7,1
68,68,68,68,1
69,9,69,9,1
69,69,69,69,7
69,70,69,70,1
69,71,69,71,1
