vertex,one,Q_one,Q2_one,Q3_one
0,1,10,88,752
1,1,6,48,408
2,1,10,88,752
3,1,6,48,408
4,1,10,88,752
5,1,6,48,408
6,1,6,48,408
7,1,10,88,752
8,1,6,48,408
9,1,10,88,752
10,1,10,88,752
11,1,6,48,408
12,1,10,88,752
13,1,10,88,752
14,1,6,48,408
15,1,10,88,752
16,1,10,88,752
17,1,6,48,408
18,1,10,88,752
19,1,10,88,752
20,1,10,88,752
21,1,10,88,752
22,1,10,88,752
23,1,6,48,408
24,1,10,88,752
25,1,10,88,752
26,1,6,48,408
27,1,10,88,752
28,1,10,88,752
29,1,6,48,408
30,1,10,88,752
31,1,10,88,752
32,1,14,120,1024
33,1,2,16,136
34,1,2,16,136
35,1,2,16,136
36,1,2,16,136
37,1,2,16,136
38,1,2,16,136
39,1,14,120,1024
40,1,2,16,136
41,1,2,16,136
42,1,2,16,136
43,1,2,16,136
44,1,2,16,136
45,1,2,16,136
46,1,14,120,1024
47,1,2,16,136
48,1,2,16,136
49,1,2,16,136
50,1,2,16,136
51,1,2,16,136
52,1,2,16,136
53,1,14,120,1024
54,1,2,16,136
55,1,2,16,136
56,1,2,16,136
57,1,2,16,136
58,1,2,16,136
59,1,2,16,136
60,1,14,120,1024
61,1,2,16,136
62,1,2,16,136
63,1,2,16,136
64,1,2,16,136
65,1,2,16,136
66,1,2,16,136
67,1,2,12,100
68,1,2,12,100
69,1,14,120,1024
70,1,2,16,136
71,1,2,16,136
72,1,2,16,136
73,1,2,16,136
74,1,2,16,136
75,1,2,16,136
76,1,14,120,1024
77,1,2,16,136
78,1,2,16,136
79,1,2,16,136
80,1,2,16,136
81,1,2,16,136
82,1,2,16,136
83,1,2,12,100
84,1,2,12,100
85,1,14,120,1024
86,1,2,16,136
87,1,2,16,136
88,1,2,16,136
89,1,2,16,136
90,1,2,16,136
91,1,2,16,136
92,1,14,120,1024
93,1,2,16,136
94,1,2,16,136
95,1,2,16,136
96,1,2,16,136
97,1,2,16,136
98,1,2,16,136
99,1,2,12,100
100,1,2,12,100
101,1,14,120,1024
102,1,2,16,136
103,1,2,16,136
104,1,2,16,136
105,1,2,16,136
106,1,2,16,136
107,1,2,16,136
108,1,14,120,1024
109,1,2,16,136
110,1,2,16,136
111,1,2,16,136
112,1,2,16,136
113,1,2,16,136
114,1,2,16,136
115,1,2,12,100
116,1,2,12,100
117,1,14,120,1024
118,1,2,16,136
119,1,2,16,136
120,1,2,16,136
121,1,2,16,136
122,1,2,16,136
123,1,2,16,136
124,1,14,120,1024
125,1,2,16,136
126,1,2,16,136
127,1,2,16,136
128,1,2,16,136
129,1,2,16,136
130,1,2,16,136
131,1,2,12,100
132,1,2,12,100
133,1,14,120,1024
134,1,2,16,136
135,1,2,16,136
136,1,2,16,136
137,1,2,16,136
138,1,2,16,136
139,1,2,16,136
140,1,14,120,1024
141,1,2,16,136
142,1,2,16,136
143,1,2,16,136
