vertex,one,Q_one,Q2_one,Q3_one
0,1,10,88,752
1,1,6,48,408
2,1,10,88,752
3,1,6,48,408
4,1,10,88,752
5,1,6,48,408
6,1,6,48,408
7,1,10,88,752
8,1,6,48,408
9,1,10,88,752
10,1,10,88,752
11,1,6,48,408
12,1,10,88,752
13,1,10,88,752
14,1,6,48,408
15,1,10,88,752
16,1,10,88,752
17,1,6,48,408
18,1,10,88,752
19,1,10,88,752
20,1,10,88,752
21,1,10,88,752
22,1,10,88,752
23,1,6,48,408
24,1,10,88,752
25,1,6,48,408
26,1,10,88,752
27,1,10,88,752
28,1,6,48,408
29,1,10,88,752
30,1,10,88,752
31,1,6,48,408
32,1,10,88,752
33,1,10,88,752
34,1,10,88,752
35,1,6,48,408
36,1,10,88,752
37,1,10,88,752
38,1,6,48,408
39,1,10,88,752
40,1,10,88,752
41,1,6,48,408
42,1,10,88,752
43,1,10,88,752
44,1,6,48,408
45,1,10,88,752
46,1,6,48,408
47,1,10,88,752
48,1,10,88,752
49,1,6,48,408
50,1,10,88,752
51,1,10,88,752
52,1,6,48,408
53,1,10,88,752
54,1,10,88,752
55,1,10,88,752
56,1,6,48,408
57,1,10,88,752
58,1,10,88,752
59,1,6,48,408
60,1,10,88,752
61,1,10,88,752
62,1,6,48,408
63,1,10,88,752
64,1,10,88,752
65,1,6,48,408
66,1,10,88,752
67,1,6,48,408
68,1,10,88,752
69,1,10,88,752
70,1,6,48,408
71,1,10,88,752
72,1,10,88,752
73,1,6,48,408
74,1,10,88,752
75,1,10,88,752
76,1,10,88,752
77,1,6,48,408
78,1,10,88,752
79,1,10,88,752
80,1,6,48,408
81,1,10,88,752
82,1,10,88,752
83,1,6,48,408
84,1,10,88,752
85,1,10,88,752
86,1,14,120,1024
87,1,2,16,136
88,1,2,16,136
89,1,2,16,136
90,1,2,16,136
91,1,2,16,136
92,1,2,16,136
93,1,14,120,1024
94,1,2,16,136
95,1,2,16,136
96,1,2,16,136
97,1,2,16,136
98,1,2,16,136
99,1,2,16,136
100,1,14,120,1024
101,1,2,16,136
102,1,2,16,136
103,1,2,16,136
104,1,2,16,136
105,1,2,16,136
106,1,2,16,136
107,1,14,120,1024
108,1,2,16,136
109,1,2,16,136
110,1,2,16,136
111,1,2,16,136
112,1,2,16,136
113,1,2,16,136
114,1,14,120,1024
115,1,2,16,136
116,1,2,16,136
117,1,2,16,136
118,1,2,16,136
119,1,2,16,136
120,1,2,16,136
121,1,2,12,100
122,1,2,12,100
123,1,14,120,1024
124,1,2,16,136
125,1,2,16,136
126,1,2,16,136
127,1,2,16,136
128,1,2,16,136
129,1,2,16,136
130,1,14,120,1024
131,1,2,16,136
132,1,2,16,136
133,1,2,16,136
134,1,2,16,136
135,1,2,16,136
136,1,2,16,136
137,1,2,12,100
138,1,2,12,100
139,1,14,120,1024
140,1,2,16,136
141,1,2,16,136
142,1,2,16,136
143,1,2,16,136
144,1,2,16,136
