row_index_0based,col_index_0based,row_vertex,col_vertex,value
0,0,0,0,5
0,1,0,1,1
0,3,0,3,1
0,6,0,6,1
0,8,0,8,1
0,86,0,86,1
1,0,1,0,1
1,1,1,1,3
1,2,1,2,1
1,4,1,4,1
2,1,2,1,1
2,2,2,2,5
2,5,2,5,1
2,11,2,11,1
2,14,2,14,1
2,93,2,93,1
3,0,3,0,1
3,3,3,3,3
3,4,3,4,1
3,20,3,20,1
4,1,4,1,1
4,3,4,3,1
4,4,4,4,5
4,5,4,5,1
4,17,4,17,1
4,100,4,100,1
5,2,5,2,1
5,4,5,4,1
5,5,5,5,3
5,21,5,21,1
6,0,6,0,1
6,6,6,6,3
6,7,6,7,1
6,22,6,22,1
7,6,7,6,1
7,7,7,7,5
7,107,7,107,1
7,114,7,114,1
7,121,7,121,1
7,122,7,122,1
8,0,8,0,1
8,8,8,8,3
8,9,8,9,1
8,10,8,10,1
9,8,9,8,1
9,9,9,9,5
9,123,9,123,1
9,130,9,130,1
9,137,9,137,1
9,138,9,138,1
10,8,10,8,1
10,10,10,10,5
10,139,10,139,1
10,146,10,146,1
10,153,10,153,1
10,154,10,154,1
11,2,11,2,1
11,11,11,11,3
11,12,11,12,1
11,13,11,13,1
12,11,12,11,1
12,12,12,12,5
12,155,12,155,1
12,162,12,162,1
12,169,12,169,1
12,170,12,170,1
13,11,13,11,1
13,13,13,13,5
13,171,13,171,1
13,178,13,178,1
13,185,13,185,1
13,186,13,186,1
14,2,14,2,1
14,14,14,14,3
14,15,14,15,1
14,16,14,16,1
15,14,15,14,1
15,15,15,15,5
15,187,15,187,1
15,194,15,194,1
15,201,15,201,1
15,202,15,202,1
16,14,16,14,1
16,16,16,16,5
16,203,16,203,1
16,210,16,210,1
16,217,16,217,1
16,218,16,218,1
17,4,17,4,1
17,17,17,17,3
17,18,17,18,1
17,19,17,19,1
18,17,18,17,1
18,18,18,18,5
18,219,18,219,1
18,226,18,226,1
18,233,18,233,1
18,234,18,234,1
19,17,19,17,1
19,19,19,19,5
19,235,19,235,1
19,242,19,242,1
19,249,19,249,1
19,250,19,250,1
20,3,20,3,1
20,20,20,20,5
20,251,20,251,1
20,258,20,258,1
20,265,20,265,1
20,266,20,266,1
21,5,21,5,1
21,21,21,21,5
21,267,21,267,1
21,274,21,274,1
21,281,21,281,1
21,282,21,282,1
22,6,22,6,1
22,22,22,22,5
22,23,22,23,1
22,44,22,44,1
22,65,22,65,1
22,283,22,283,1
23,22,23,22,1
23,23,23,23,3
23,24,23,24,1
23,34,23,34,1
24,23,24,23,1
24,24,24,24,5
24,25,24,25,1
24,28,24,28,1
24,31,24,31,1
24,290,24,290,1
25,24,25,24,1
25,25,25,25,3
25,26,25,26,1
25,27,25,27,1
26,25,26,25,1
26,26,26,26,5
26,297,26,297,1
26,304,26,304,1
26,311,26,311,1
26,312,26,312,1
27,25,27,25,1
27,27,27,27,5
27,313,27,313,1
27,320,27,320,1
27,327,27,327,1
27,328,27,328,1
28,24,28,24,1
28,28,28,28,3
28,29,28,29,1
28,30,28,30,1
29,28,29,28,1
29,29,29,29,5
29,329,29,329,1
29,336,29,336,1
29,343,29,343,1
29,344,29,344,1
30,28,30,28,1
30,30,30,30,5
30,345,30,345,1
30,352,30,352,1
30,359,30,359,1
30,360,30,360,1
31,24,31,24,1
31,31,31,31,3
31,32,31,32,1
31,33,31,33,1
32,31,32,31,1
32,32,32,32,5
32,361,32,361,1
32,368,32,368,1
32,375,32,375,1
32,376,32,376,1
33,31,33,31,1
33,33,33,33,5
33,377,33,377,1
33,384,33,384,1
33,391,33,391,1
33,392,33,392,1
34,23,34,23,1
34,34,34,34,5
34,35,34,35,1
34,38,34,38,1
34,41,34,41,1
34,393,34,393,1
35,34,35,34,1
35,35,35,35,3
35,36,35,36,1
35,37,35,37,1
36,35,36,35,1
36,36,36,36,5
36,400,36,400,1
36,407,36,407,1
36,414,36,414,1
36,415,36,415,1
37,35,37,35,1
37,37,37,37,5
37,416,37,416,1
37,423,37,423,1
37,430,37,430,1
37,431,37,431,1
38,34,38,34,1
38,38,38,38,3
38,39,38,39,1
38,40,38,40,1
39,38,39,38,1
39,39,39,39,5
39,432,39,432,1
39,439,39,439,1
39,446,39,446,1
39,447,39,447,1
40,38,40,38,1
40,40,40,40,5
40,448,40,448,1
40,455,40,455,1
40,462,40,462,1
40,463,40,463,1
41,34,41,34,1
41,41,41,41,3
41,42,41,42,1
41,43,41,43,1
42,41,42,41,1
42,42,42,42,5
42,464,42,464,1
42,471,42,471,1
42,478,42,478,1
42,479,42,479,1
43,41,43,41,1
43,43,43,43,5
43,480,43,480,1
43,487,43,487,1
43,494,43,494,1
43,495,43,495,1
44,22,44,22,1
44,44,44,44,3
44,45,44,45,1
44,55,44,55,1
45,44,45,44,1
45,45,45,45,5
45,46,45,46,1
45,49,45,49,1
45,52,45,52,1
45,496,45,496,1
46,45,46,45,1
46,46,46,46,3
46,47,46,47,1
46,48,46,48,1
47,46,47,46,1
47,47,47,47,5
47,503,47,503,1
47,510,47,510,1
47,517,47,517,1
47,518,47,518,1
48,46,48,46,1
48,48,48,48,5
48,519,48,519,1
48,526,48,526,1
48,533,48,533,1
48,534,48,534,1
49,45,49,45,1
49,49,49,49,3
49,50,49,50,1
49,51,49,51,1
50,49,50,49,1
50,50,50,50,5
50,535,50,535,1
50,542,50,542,1
50,549,50,549,1
50,550,50,550,1
51,49,51,49,1
51,51,51,51,5
51,551,51,551,1
51,558,51,558,1
51,565,51,565,1
51,566,51,566,1
52,45,52,45,1
52,52,52,52,3
