vertex,one,Q_one,Q2_one,Q3_one
0,1,10,88,752
1,1,6,48,408
2,1,6,48,408
3,1,10,88,752
4,1,6,48,408
5,1,10,88,752
6,1,10,88,752
7,1,6,48,408
8,1,10,88,752
9,1,10,88,752
10,1,10,88,752
11,1,10,88,752
12,1,10,88,752
13,1,6,48,408
14,1,10,88,752
15,1,10,88,752
16,1,6,48,408
17,1,10,88,752
18,1,10,88,752
19,1,6,48,408
20,1,10,88,752
21,1,10,88,752
22,1,14,120,1024
23,1,2,16,136
24,1,2,16,136
25,1,2,16,136
26,1,2,16,136
27,1,2,16,136
28,1,2,16,136
29,1,14,120,1024
30,1,2,16,136
31,1,2,16,136
32,1,2,16,136
33,1,2,16,136
34,1,2,16,136
35,1,2,16,136
36,1,14,120,1024
37,1,2,16,136
38,1,2,16,136
39,1,2,16,136
40,1,2,16,136
41,1,2,16,136
42,1,2,16,136
43,1,2,12,100
44,1,2,12,100
45,1,14,120,1024
46,1,2,16,136
47,1,2,16,136
48,1,2,16,136
49,1,2,16,136
50,1,2,16,136
51,1,2,16,136
52,1,14,120,1024
53,1,2,16,136
54,1,2,16,136
55,1,2,16,136
56,1,2,16,136
57,1,2,16,136
58,1,2,16,136
59,1,2,12,100
60,1,2,12,100
61,1,14,120,1024
62,1,2,16,136
63,1,2,16,136
64,1,2,16,136
65,1,2,16,136
66,1,2,16,136
67,1,2,16,136
68,1,14,120,1024
69,1,2,16,136
70,1,2,16,136
71,1,2,16,136
72,1,2,16,136
73,1,2,16,136
74,1,2,16,136
75,1,2,12,100
76,1,2,12,100
77,1,14,120,1024
78,1,2,16,136
79,1,2,16,136
80,1,2,16,136
81,1,2,16,136
82,1,2,16,136
83,1,2,16,136
84,1,14,120,1024
85,1,2,16,136
86,1,2,16,136
87,1,2,16,136
88,1,2,16,136
89,1,2,16,136
90,1,2,16,136
91,1,2,12,100
92,1,2,12,100
93,1,14,120,1024
94,1,2,16,136
95,1,2,16,136
96,1,2,16,136
97,1,2,16,136
98,1,2,16,136
99,1,2,16,136
100,1,14,120,1024
101,1,2,16,136
102,1,2,16,136
103,1,2,16,136
104,1,2,16,136
105,1,2,16,136
106,1,2,16,136
107,1,2,12,100
108,1,2,12,100
109,1,14,120,1024
110,1,2,16,136
111,1,2,16,136
112,1,2,16,136
113,1,2,16,136
114,1,2,16,136
115,1,2,16,136
116,1,14,120,1024
117,1,2,16,136
118,1,2,16,136
119,1,2,16,136
120,1,2,16,136
121,1,2,16,136
122,1,2,16,136
123,1,2,12,100
124,1,2,12,100
125,1,14,120,1024
126,1,2,16,136
127,1,2,16,136
128,1,2,16,136
129,1,2,16,136
130,1,2,16,136
131,1,2,16,136
132,1,14,120,1024
133,1,2,16,136
134,1,2,16,136
135,1,2,16,136
136,1,2,16,136
137,1,2,16,136
138,1,2,16,136
139,1,2,12,100
140,1,2,12,100
141,1,14,120,1024
142,1,2,16,136
143,1,2,16,136
144,1,2,16,136
145,1,2,16,136
146,1,2,16,136
147,1,2,16,136
148,1,14,120,1024
149,1,2,16,136
150,1,2,16,136
151,1,2,16,136
152,1,2,16,136
153,1,2,16,136
154,1,2,16,136
155,1,14,120,1024
156,1,2,16,136
157,1,2,16,136
158,1,2,16,136
159,1,2,16,136
160,1,2,16,136
161,1,2,16,136
162,1,2,12,100
163,1,2,12,100
164,1,14,120,1024
165,1,2,16,136
166,1,2,16,136
167,1,2,16,136
168,1,2,16,136
169,1,2,16,136
170,1,2,16,136
171,1,14,120,1024
172,1,2,16,136
173,1,2,16,136
174,1,2,16,136
175,1,2,16,136
176,1,2,16,136
177,1,2,16,136
178,1,2,12,100
179,1,2,12,100
180,1,14,120,1024
181,1,2,16,136
182,1,2,16,136
183,1,2,16,136
184,1,2,16,136
185,1,2,16,136
186,1,2,16,136
187,1,14,120,1024
188,1,2,16,136
189,1,2,16,136
190,1,2,16,136
191,1,2,16,136
192,1,2,16,136
193,1,2,16,136
194,1,2,12,100
195,1,2,12,100
196,1,14,120,1024
197,1,2,16,136
198,1,2,16,136
199,1,2,16,136
200,1,2,16,136
201,1,2,16,136
202,1,2,16,136
203,1,14,120,1024
204,1,2,16,136
205,1,2,16,136
206,1,2,16,136
207,1,2,16,136
208,1,2,16,136
209,1,2,16,136
210,1,2,12,100
211,1,2,12,100
212,1,14,120,1024
213,1,2,16,136
214,1,2,16,136
215,1,2,16,136
216,1,2,16,136
217,1,2,16,136
218,1,2,16,136
219,1,14,120,1024
220,1,2,16,136
221,1,2,16,136
222,1,2,16,136
223,1,2,16,136
224,1,2,16,136
225,1,2,16,136
226,1,2,12,100
227,1,2,12,100
228,1,14,120,1024
229,1,2,16,136
230,1,2,16,136
231,1,2,16,136
232,1,2,16,136
233,1,2,16,136
234,1,2,16,136
235,1,14,120,1024
236,1,2,16,136
237,1,2,16,136
238,1,2,16,136
239,1,2,16,136
240,1,2,16,136
241,1,2,16,136
242,1,2,12,100
243,1,2,12,100
