row_index_0based,col_index_0based,row_vertex,col_vertex,value
0,0,0,0,5
0,1,0,1,1
0,2,0,2,1
0,4,0,4,1
0,7,0,7,1
0,22,0,22,1
1,0,1,0,1
1,1,1,1,3
1,10,1,10,1
1,11,1,11,1
2,0,2,0,1
2,2,2,2,3
2,3,2,3,1
2,12,2,12,1
3,2,3,2,1
3,3,3,3,5
3,29,3,29,1
3,36,3,36,1
3,43,3,43,1
3,44,3,44,1
4,0,4,0,1
4,4,4,4,3
4,5,4,5,1
4,6,4,6,1
5,4,5,4,1
5,5,5,5,5
5,45,5,45,1
5,52,5,52,1
5,59,5,59,1
5,60,5,60,1
6,4,6,4,1
6,6,6,6,5
6,61,6,61,1
6,68,6,68,1
6,75,6,75,1
6,76,6,76,1
7,0,7,0,1
7,7,7,7,3
7,8,7,8,1
7,9,7,9,1
8,7,8,7,1
8,8,8,8,5
8,77,8,77,1
8,84,8,84,1
8,91,8,91,1
8,92,8,92,1
9,7,9,7,1
9,9,9,9,5
9,93,9,93,1
9,100,9,100,1
9,107,9,107,1
9,108,9,108,1
10,1,10,1,1
10,10,10,10,5
10,109,10,109,1
10,116,10,116,1
10,123,10,123,1
10,124,10,124,1
11,1,11,1,1
11,11,11,11,5
11,125,11,125,1
11,132,11,132,1
11,139,11,139,1
11,140,11,140,1
12,2,12,2,1
12,12,12,12,5
12,13,12,13,1
12,16,12,16,1
12,19,12,19,1
12,141,12,141,1
13,12,13,12,1
13,13,13,13,3
13,14,13,14,1
13,15,13,15,1
14,13,14,13,1
14,14,14,14,5
14,148,14,148,1
14,155,14,155,1
14,162,14,162,1
14,163,14,163,1
15,13,15,13,1
15,15,15,15,5
15,164,15,164,1
15,171,15,171,1
15,178,15,178,1
15,179,15,179,1
16,12,16,12,1
16,16,16,16,3
16,17,16,17,1
16,18,16,18,1
17,16,17,16,1
17,17,17,17,5
17,180,17,180,1
17,187,17,187,1
17,194,17,194,1
17,195,17,195,1
18,16,18,16,1
18,18,18,18,5
18,196,18,196,1
18,203,18,203,1
18,210,18,210,1
18,211,18,211,1
19,12,19,12,1
19,19,19,19,3
19,20,19,20,1
19,21,19,21,1
20,19,20,19,1
20,20,20,20,5
20,212,20,212,1
20,219,20,219,1
20,226,20,226,1
20,227,20,227,1
21,19,21,19,1
21,21,21,21,5
21,228,21,228,1
21,235,21,235,1
21,242,21,242,1
21,243,21,243,1
22,0,22,0,1
22,22,22,22,7
22,23,22,23,1
22,24,22,24,1
22,25,22,25,1
22,26,22,26,1
22,27,22,27,1
22,28,22,28,1
23,22,23,22,1
23,23,23,23,1
24,22,24,22,1
24,24,24,24,1
25,22,25,22,1
25,25,25,25,1
26,22,26,22,1
26,26,26,26,1
27,22,27,22,1
27,27,27,27,1
28,22,28,22,1
28,28,28,28,1
29,3,29,3,1
29,29,29,29,7
29,30,29,30,1
29,31,29,31,1
29,32,29,32,1
29,33,29,33,1
29,34,29,34,1
29,35,29,35,1
30,29,30,29,1
30,30,30,30,1
31,29,31,29,1
31,31,31,31,1
32,29,32,29,1
32,32,32,32,1
33,29,33,29,1
33,33,33,33,1
34,29,34,29,1
34,34,34,34,1
35,29,35,29,1
35,35,35,35,1
36,3,36,3,1
36,36,36,36,7
36,37,36,37,1
36,38,36,38,1
36,39,36,39,1
36,40,36,40,1
36,41,36,41,1
36,42,36,42,1
37,36,37,36,1
37,37,37,37,1
38,36,38,36,1
38,38,38,38,1
39,36,39,36,1
39,39,39,39,1
40,36,40,36,1
40,40,40,40,1
41,36,41,36,1
41,41,41,41,1
42,36,42,36,1
42,42,42,42,1
43,3,43,3,1
43,43,43,43,1
44,3,44,3,1
44,44,44,44,1
45,5,45,5,1
45,45,45,45,7
45,46,45,46,1
45,47,45,47,1
45,48,45,48,1
45,49,45,49,1
45,50,45,50,1
45,51,45,51,1
46,45,46,45,1
46,46,46,46,1
47,45,47,45,1
47,47,47,47,1
48,45,48,45,1
48,48,48,48,1
49,45,49,45,1
49,49,49,49,1
50,45,50,45,1
50,50,50,50,1
51,45,51,45,1
51,51,51,51,1
52,5,52,5,1
52,52,52,52,7
52,53,52,53,1
52,54,52,54,1
52,55,52,55,1
52,56,52,56,1
52,57,52,57,1
52,58,52,58,1
53,52,53,52,1
53,53,53,53,1
54,52,54,52,1
54,54,54,54,1
55,52,55,52,1
55,55,55,55,1
56,52,56,52,1
56,56,56,56,1
57,52,57,52,1
57,57,57,57,1
58,52,58,52,1
58,58,58,58,1
59,5,59,5,1
59,59,59,59,1
60,5,60,5,1
60,60,60,60,1
61,6,61,6,1
61,61,61,61,7
61,62,61,62,1
61,63,61,63,1
61,64,61,64,1
61,65,61,65,1
61,66,61,66,1
61,67,61,67,1
62,61,62,61,1
62,62,62,62,1
63,61,63,61,1
63,63,63,63,1
64,61,64,61,1
64,64,64,64,1
65,61,65,61,1
65,65,65,65,1
66,61,66,61,1
66,66,66,66,1
67,61,67,61,1
67,67,67,67,1
68,6,68,6,1
68,68,68,68,7
68,69,68,69,1
68,70,68,70,1
68,71,68,71,1
68,72,68,72,1
68,73,68,73,1
68,74,68,74,1
69,68,69,68,1
69,69,69,69,1
70,68,70,68,1
70,70,70,70,1
71,68,71,68,1
71,71,71,71,1
72,68,72,68,1
72,72,72,72,1
73,68,73,68,1
73,73,73,73,1
74,68,74,68,1
74,74,74,74,1
75,6,75,6,1
75,75,75,75,1
76,6,76,6,1
76,76,76,76,1
77,8,77,8,1
77,77,77,77,7
77,78,77,78,1
77,79,77,79,1
77,80,77,80,1
77,81,77,81,1
77,82,77,82,1
77,83,77,83,1
