vertex,one,Q_one,Q2_one,Q3_one
317,1,6,48,408
318,1,10,88,752
319,1,10,88,752
320,1,6,48,408
321,1,10,88,752
322,1,6,48,408
323,1,10,88,752
324,1,10,88,752
325,1,6,48,408
326,1,10,88,752
327,1,10,88,752
328,1,6,48,408
329,1,10,88,752
330,1,10,88,752
331,1,10,88,752
332,1,6,48,408
333,1,10,88,752
334,1,10,88,752
335,1,6,48,408
336,1,10,88,752
337,1,10,88,752
338,1,6,48,408
339,1,10,88,752
340,1,10,88,752
341,1,10,88,752
342,1,6,48,408
343,1,10,88,752
344,1,6,48,408
345,1,10,88,752
346,1,10,88,752
347,1,6,48,408
348,1,10,88,752
349,1,10,88,752
350,1,6,48,408
351,1,10,88,752
352,1,10,88,752
353,1,10,88,752
354,1,6,48,408
355,1,10,88,752
356,1,10,88,752
357,1,6,48,408
358,1,10,88,752
359,1,10,88,752
360,1,6,48,408
361,1,10,88,752
362,1,10,88,752
363,1,6,48,408
364,1,10,88,752
365,1,6,48,408
366,1,10,88,752
367,1,10,88,752
368,1,6,48,408
369,1,10,88,752
370,1,10,88,752
371,1,6,48,408
372,1,10,88,752
373,1,10,88,752
374,1,10,88,752
375,1,6,48,408
376,1,10,88,752
377,1,10,88,752
378,1,6,48,408
379,1,10,88,752
380,1,10,88,752
381,1,6,48,408
382,1,10,88,752
383,1,10,88,752
384,1,6,48,408
385,1,10,88,752
386,1,6,48,408
387,1,10,88,752
388,1,10,88,752
389,1,6,48,408
390,1,10,88,752
391,1,10,88,752
392,1,6,48,408
393,1,10,88,752
394,1,10,88,752
395,1,10,88,752
396,1,6,48,408
397,1,10,88,752
398,1,10,88,752
399,1,6,48,408
400,1,10,88,752
401,1,10,88,752
402,1,6,48,408
403,1,10,88,752
404,1,10,88,752
405,1,14,120,1024
406,1,2,16,136
407,1,2,16,136
408,1,2,16,136
409,1,2,16,136
410,1,2,16,136
411,1,2,16,136
412,1,14,120,1024
413,1,2,16,136
414,1,2,16,136
415,1,2,16,136
416,1,2,16,136
417,1,2,16,136
418,1,2,16,136
419,1,14,120,1024
420,1,2,16,136
421,1,2,16,136
422,1,2,16,136
423,1,2,16,136
424,1,2,16,136
425,1,2,16,136
426,1,14,120,1024
427,1,2,16,136
428,1,2,16,136
429,1,2,16,136
430,1,2,16,136
431,1,2,16,136
432,1,2,16,136
433,1,2,12,100
434,1,2,12,100
435,1,14,120,1024
436,1,2,16,136
437,1,2,16,136
438,1,2,16,136
439,1,2,16,136
440,1,2,16,136
441,1,2,16,136
442,1,14,120,1024
443,1,2,16,136
444,1,2,16,136
445,1,2,16,136
446,1,2,16,136
447,1,2,16,136
448,1,2,16,136
449,1,2,12,100
450,1,2,12,100
451,1,14,120,1024
452,1,2,16,136
453,1,2,16,136
454,1,2,16,136
455,1,2,16,136
456,1,2,16,136
457,1,2,16,136
458,1,14,120,1024
459,1,2,16,136
460,1,2,16,136
461,1,2,16,136
462,1,2,16,136
463,1,2,16,136
464,1,2,16,136
465,1,2,12,100
466,1,2,12,100
467,1,14,120,1024
468,1,2,16,136
469,1,2,16,136
470,1,2,16,136
471,1,2,16,136
472,1,2,16,136
473,1,2,16,136
474,1,14,120,1024
475,1,2,16,136
476,1,2,16,136
477,1,2,16,136
478,1,2,16,136
479,1,2,16,136
480,1,2,16,136
481,1,2,12,100
482,1,2,12,100
483,1,14,120,1024
484,1,2,16,136
485,1,2,16,136
486,1,2,16,136
487,1,2,16,136
488,1,2,16,136
489,1,2,16,136
490,1,14,120,1024
491,1,2,16,136
492,1,2,16,136
493,1,2,16,136
494,1,2,16,136
495,1,2,16,136
496,1,2,16,136
497,1,2,12,100
498,1,2,12,100
499,1,14,120,1024
500,1,2,16,136
501,1,2,16,136
502,1,2,16,136
503,1,2,16,136
504,1,2,16,136
505,1,2,16,136
506,1,14,120,1024
507,1,2,16,136
508,1,2,16,136
509,1,2,16,136
510,1,2,16,136
511,1,2,16,136
512,1,2,16,136
513,1,2,12,100
514,1,2,12,100
515,1,14,120,1024
516,1,2,16,136
517,1,2,16,136
518,1,2,16,136
519,1,2,16,136
520,1,2,16,136
521,1,2,16,136
522,1,14,120,1024
523,1,2,16,136
524,1,2,16,136
525,1,2,16,136
526,1,2,16,136
527,1,2,16,136
528,1,2,16,136
529,1,2,12,100
530,1,2,12,100
531,1,14,120,1024
532,1,2,16,136
533,1,2,16,136
534,1,2,16,136
535,1,2,16,136
536,1,2,16,136
537,1,2,16,136
538,1,14,120,1024
539,1,2,16,136
540,1,2,16,136
541,1,2,16,136
542,1,2,16,136
543,1,2,16,136
544,1,2,16,136
545,1,2,12,100
546,1,2,12,100
547,1,14,120,1024
548,1,2,16,136
549,1,2,16,136
550,1,2,16,136
551,1,2,16,136
552,1,2,16,136
553,1,2,16,136
554,1,14,120,1024
555,1,2,16,136
556,1,2,16,136
557,1,2,16,136
558,1,2,16,136
559,1,2,16,136
560,1,2,16,136
561,1,2,12,100
562,1,2,12,100
563,1,14,120,1024
564,1,2,16,136
565,1,2,16,136
566,1,2,16,136
567,1,2,16,136
568,1,2,16,136
569,1,2,16,136
570,1,14,120,1024
571,1,2,16,136
572,1,2,16,136
573,1,2,16,136
574,1,2,16,136
575,1,2,16,136
576,1,2,16,136
577,1,14,120,1024
578,1,2,16,136
579,1,2,16,136
580,1,2,16,136
581,1,2,16,136
582,1,2,16,136
583,1,2,16,136
584,1,14,120,1024
585,1,2,16,136
586,1,2,16,136
587,1,2,16,136
588,1,2,16,136
589,1,2,16,136
590,1,2,16,136
591,1,14,120,1024
592,1,2,16,136
593,1,2,16,136
594,1,2,16,136
595,1,2,16,136
596,1,2,16,136
597,1,2,16,136
598,1,2,12,100
599,1,2,12,100
600,1,14,120,1024
601,1,2,16,136
602,1,2,16,136
603,1,2,16,136
604,1,2,16,136
605,1,2,16,136
606,1,2,16,136
607,1,14,120,1024
608,1,2,16,136
609,1,2,16,136
610,1,2,16,136
611,1,2,16,136
612,1,2,16,136
613,1,2,16,136
614,1,2,12,100
615,1,2,12,100
616,1,14,120,1024
617,1,2,16,136
618,1,2,16,136
