vertex,one,Q_one,Q2_one,Q3_one
0,1,10,88,752
1,1,6,48,408
2,1,6,48,408
3,1,10,88,752
4,1,6,48,408
5,1,10,88,752
6,1,10,88,752
7,1,6,48,408
8,1,10,88,752
9,1,10,88,752
10,1,10,88,752
11,1,10,88,752
12,1,10,88,752
13,1,6,48,408
14,1,10,88,752
15,1,6,48,408
16,1,10,88,752
17,1,10,88,752
18,1,6,48,408
19,1,10,88,752
20,1,10,88,752
21,1,6,48,408
22,1,10,88,752
23,1,10,88,752
24,1,10,88,752
25,1,6,48,408
26,1,10,88,752
27,1,10,88,752
28,1,6,48,408
29,1,10,88,752
30,1,10,88,752
31,1,6,48,408
32,1,10,88,752
33,1,10,88,752
34,1,6,48,408
35,1,10,88,752
36,1,6,48,408
37,1,10,88,752
38,1,10,88,752
39,1,6,48,408
40,1,10,88,752
41,1,10,88,752
42,1,6,48,408
43,1,10,88,752
44,1,10,88,752
45,1,10,88,752
46,1,6,48,408
47,1,10,88,752
48,1,10,88,752
49,1,6,48,408
50,1,10,88,752
51,1,10,88,752
52,1,6,48,408
53,1,10,88,752
54,1,10,88,752
55,1,6,48,408
56,1,10,88,752
57,1,6,48,408
58,1,10,88,752
59,1,10,88,752
60,1,6,48,408
61,1,10,88,752
62,1,10,88,752
63,1,6,48,408
64,1,10,88,752
65,1,10,88,752
66,1,10,88,752
67,1,6,48,408
68,1,10,88,752
69,1,10,88,752
70,1,6,48,408
71,1,10,88,752
72,1,10,88,752
73,1,6,48,408
74,1,10,88,752
75,1,10,88,752
76,1,14,120,1024
77,1,2,16,136
78,1,2,16,136
79,1,2,16,136
80,1,2,16,136
81,1,2,16,136
82,1,2,16,136
83,1,14,120,1024
84,1,2,16,136
85,1,2,16,136
86,1,2,16,136
87,1,2,16,136
88,1,2,16,136
89,1,2,16,136
90,1,14,120,1024
91,1,2,16,136
92,1,2,16,136
93,1,2,16,136
94,1,2,16,136
95,1,2,16,136
96,1,2,16,136
97,1,2,12,100
98,1,2,12,100
99,1,14,120,1024
100,1,2,16,136
101,1,2,16,136
102,1,2,16,136
103,1,2,16,136
104,1,2,16,136
105,1,2,16,136
106,1,14,120,1024
107,1,2,16,136
108,1,2,16,136
109,1,2,16,136
110,1,2,16,136
111,1,2,16,136
112,1,2,16,136
113,1,2,12,100
114,1,2,12,100
115,1,14,120,1024
116,1,2,16,136
117,1,2,16,136
118,1,2,16,136
119,1,2,16,136
120,1,2,16,136
121,1,2,16,136
122,1,14,120,1024
123,1,2,16,136
124,1,2,16,136
125,1,2,16,136
126,1,2,16,136
127,1,2,16,136
128,1,2,16,136
129,1,2,12,100
130,1,2,12,100
131,1,14,120,1024
132,1,2,16,136
133,1,2,16,136
134,1,2,16,136
135,1,2,16,136
136,1,2,16,136
137,1,2,16,136
138,1,14,120,1024
139,1,2,16,136
140,1,2,16,136
141,1,2,16,136
142,1,2,16,136
143,1,2,16,136
144,1,2,16,136
