row_index_0based,col_index_0based,row_vertex,col_vertex,value
0,0,0,0,5
0,1,0,1,1
0,2,0,2,1
0,4,0,4,1
0,7,0,7,1
0,76,0,76,1
1,0,1,0,1
1,1,1,1,3
1,10,1,10,1
1,11,1,11,1
2,0,2,0,1
2,2,2,2,3
2,3,2,3,1
2,12,2,12,1
3,2,3,2,1
3,3,3,3,5
3,83,3,83,1
3,90,3,90,1
3,97,3,97,1
3,98,3,98,1
4,0,4,0,1
4,4,4,4,3
4,5,4,5,1
4,6,4,6,1
5,4,5,4,1
5,5,5,5,5
5,99,5,99,1
5,106,5,106,1
5,113,5,113,1
5,114,5,114,1
6,4,6,4,1
6,6,6,6,5
6,115,6,115,1
6,122,6,122,1
6,129,6,129,1
6,130,6,130,1
7,0,7,0,1
7,7,7,7,3
7,8,7,8,1
7,9,7,9,1
8,7,8,7,1
8,8,8,8,5
8,131,8,131,1
8,138,8,138,1
8,145,8,145,1
8,146,8,146,1
9,7,9,7,1
9,9,9,9,5
9,147,9,147,1
9,154,9,154,1
9,161,9,161,1
9,162,9,162,1
10,1,10,1,1
10,10,10,10,5
10,163,10,163,1
10,170,10,170,1
10,177,10,177,1
10,178,10,178,1
11,1,11,1,1
11,11,11,11,5
11,179,11,179,1
11,186,11,186,1
11,193,11,193,1
11,194,11,194,1
12,2,12,2,1
12,12,12,12,5
12,13,12,13,1
12,34,12,34,1
12,55,12,55,1
12,195,12,195,1
13,12,13,12,1
13,13,13,13,3
13,14,13,14,1
13,24,13,24,1
14,13,14,13,1
14,14,14,14,5
14,15,14,15,1
14,18,14,18,1
14,21,14,21,1
14,202,14,202,1
15,14,15,14,1
15,15,15,15,3
15,16,15,16,1
15,17,15,17,1
16,15,16,15,1
16,16,16,16,5
16,209,16,209,1
16,216,16,216,1
16,223,16,223,1
16,224,16,224,1
17,15,17,15,1
17,17,17,17,5
17,225,17,225,1
17,232,17,232,1
17,239,17,239,1
17,240,17,240,1
18,14,18,14,1
18,18,18,18,3
18,19,18,19,1
18,20,18,20,1
19,18,19,18,1
19,19,19,19,5
19,241,19,241,1
19,248,19,248,1
19,255,19,255,1
19,256,19,256,1
20,18,20,18,1
20,20,20,20,5
20,257,20,257,1
20,264,20,264,1
20,271,20,271,1
20,272,20,272,1
21,14,21,14,1
21,21,21,21,3
21,22,21,22,1
21,23,21,23,1
22,21,22,21,1
22,22,22,22,5
22,273,22,273,1
22,280,22,280,1
22,287,22,287,1
22,288,22,288,1
23,21,23,21,1
23,23,23,23,5
23,289,23,289,1
23,296,23,296,1
23,303,23,303,1
23,304,23,304,1
24,13,24,13,1
24,24,24,24,5
24,25,24,25,1
24,28,24,28,1
24,31,24,31,1
24,305,24,305,1
25,24,25,24,1
25,25,25,25,3
25,26,25,26,1
25,27,25,27,1
26,25,26,25,1
26,26,26,26,5
26,312,26,312,1
26,319,26,319,1
26,326,26,326,1
26,327,26,327,1
27,25,27,25,1
27,27,27,27,5
27,328,27,328,1
27,335,27,335,1
27,342,27,342,1
27,343,27,343,1
28,24,28,24,1
28,28,28,28,3
28,29,28,29,1
28,30,28,30,1
29,28,29,28,1
29,29,29,29,5
29,344,29,344,1
29,351,29,351,1
29,358,29,358,1
29,359,29,359,1
30,28,30,28,1
30,30,30,30,5
30,360,30,360,1
30,367,30,367,1
30,374,30,374,1
30,375,30,375,1
31,24,31,24,1
31,31,31,31,3
31,32,31,32,1
31,33,31,33,1
32,31,32,31,1
32,32,32,32,5
32,376,32,376,1
32,383,32,383,1
32,390,32,390,1
32,391,32,391,1
33,31,33,31,1
33,33,33,33,5
33,392,33,392,1
33,399,33,399,1
33,406,33,406,1
33,407,33,407,1
34,12,34,12,1
34,34,34,34,3
34,35,34,35,1
34,45,34,45,1
35,34,35,34,1
35,35,35,35,5
35,36,35,36,1
35,39,35,39,1
35,42,35,42,1
35,408,35,408,1
36,35,36,35,1
36,36,36,36,3
36,37,36,37,1
36,38,36,38,1
37,36,37,36,1
37,37,37,37,5
37,415,37,415,1
37,422,37,422,1
37,429,37,429,1
37,430,37,430,1
38,36,38,36,1
38,38,38,38,5
38,431,38,431,1
38,438,38,438,1
38,445,38,445,1
38,446,38,446,1
39,35,39,35,1
39,39,39,39,3
39,40,39,40,1
39,41,39,41,1
40,39,40,39,1
40,40,40,40,5
40,447,40,447,1
40,454,40,454,1
40,461,40,461,1
40,462,40,462,1
41,39,41,39,1
41,41,41,41,5
41,463,41,463,1
41,470,41,470,1
41,477,41,477,1
41,478,41,478,1
42,35,42,35,1
42,42,42,42,3
42,43,42,43,1
42,44,42,44,1
43,42,43,42,1
43,43,43,43,5
43,479,43,479,1
43,486,43,486,1
43,493,43,493,1
43,494,43,494,1
44,42,44,42,1
44,44,44,44,5
44,495,44,495,1
44,502,44,502,1
44,509,44,509,1
44,510,44,510,1
45,34,45,34,1
45,45,45,45,5
45,46,45,46,1
45,49,45,49,1
45,52,45,52,1
45,511,45,511,1
46,45,46,45,1
46,46,46,46,3
46,47,46,47,1
46,48,46,48,1
47,46,47,46,1
47,47,47,47,5
47,518,47,518,1
47,525,47,525,1
47,532,47,532,1
47,533,47,533,1
48,46,48,46,1
48,48,48,48,5
48,534,48,534,1
48,541,48,541,1
48,548,48,548,1
48,549,48,549,1
49,45,49,45,1
49,49,49,49,3
49,50,49,50,1
49,51,49,51,1
50,49,50,49,1
50,50,50,50,5
50,550,50,550,1
50,557,50,557,1
50,564,50,564,1
50,565,50,565,1
51,49,51,49,1
51,51,51,51,5
51,566,51,566,1
51,573,51,573,1
51,580,51,580,1
51,581,51,581,1
