vertex,one,Q_one,Q2_one,Q3_one
0,1,10,88,752
1,1,6,48,408
2,1,6,48,408
3,1,10,88,752
4,1,6,48,408
5,1,10,88,752
6,1,10,88,752
7,1,6,48,408
8,1,10,88,752
9,1,10,88,752
10,1,10,88,752
11,1,10,88,752
12,1,10,88,752
13,1,14,120,1024
14,1,2,16,136
15,1,2,16,136
16,1,2,16,136
17,1,2,16,136
18,1,2,16,136
19,1,2,16,136
20,1,14,120,1024
21,1,2,16,136
22,1,2,16,136
23,1,2,16,136
24,1,2,16,136
25,1,2,16,136
26,1,2,16,136
27,1,14,120,1024
28,1,2,16,136
29,1,2,16,136
30,1,2,16,136
31,1,2,16,136
32,1,2,16,136
33,1,2,16,136
34,1,2,12,100
35,1,2,12,100
36,1,14,120,1024
37,1,2,16,136
38,1,2,16,136
39,1,2,16,136
40,1,2,16,136
41,1,2,16,136
42,1,2,16,136
43,1,14,120,1024
44,1,2,16,136
45,1,2,16,136
46,1,2,16,136
47,1,2,16,136
48,1,2,16,136
49,1,2,16,136
50,1,2,12,100
51,1,2,12,100
52,1,14,120,1024
53,1,2,16,136
54,1,2,16,136
55,1,2,16,136
56,1,2,16,136
57,1,2,16,136
58,1,2,16,136
59,1,14,120,1024
60,1,2,16,136
61,1,2,16,136
62,1,2,16,136
63,1,2,16,136
64,1,2,16,136
65,1,2,16,136
66,1,2,12,100
67,1,2,12,100
68,1,14,120,1024
69,1,2,16,136
70,1,2,16,136
71,1,2,16,136
72,1,2,16,136
73,1,2,16,136
74,1,2,16,136
75,1,14,120,1024
76,1,2,16,136
77,1,2,16,136
78,1,2,16,136
79,1,2,16,136
80,1,2,16,136
81,1,2,16,136
82,1,2,12,100
83,1,2,12,100
84,1,14,120,1024
85,1,2,16,136
86,1,2,16,136
87,1,2,16,136
88,1,2,16,136
89,1,2,16,136
90,1,2,16,136
91,1,14,120,1024
92,1,2,16,136
93,1,2,16,136
94,1,2,16,136
95,1,2,16,136
96,1,2,16,136
97,1,2,16,136
98,1,2,12,100
99,1,2,12,100
100,1,14,120,1024
101,1,2,16,136
102,1,2,16,136
103,1,2,16,136
104,1,2,16,136
105,1,2,16,136
106,1,2,16,136
107,1,14,120,1024
108,1,2,16,136
109,1,2,16,136
110,1,2,16,136
111,1,2,16,136
112,1,2,16,136
113,1,2,16,136
114,1,2,12,100
115,1,2,12,100
116,1,14,120,1024
117,1,2,16,136
118,1,2,16,136
119,1,2,16,136
120,1,2,16,136
121,1,2,16,136
122,1,2,16,136
123,1,14,120,1024
124,1,2,16,136
125,1,2,16,136
126,1,2,16,136
127,1,2,16,136
128,1,2,16,136
129,1,2,16,136
130,1,2,12,100
131,1,2,12,100
132,1,14,120,1024
133,1,2,16,136
134,1,2,16,136
135,1,2,16,136
136,1,2,16,136
137,1,2,16,136
138,1,2,16,136
139,1,14,120,1024
140,1,2,16,136
141,1,2,16,136
142,1,2,16,136
143,1,2,16,136
144,1,2,16,136
145,1,2,16,136
146,1,2,12,100
147,1,2,12,100
