vertex,one,Q_one,Q2_one,Q3_one
0,1,10,88,752
1,1,6,48,408
2,1,10,88,752
3,1,6,48,408
4,1,10,88,752
5,1,6,48,408
6,1,6,48,408
7,1,10,88,752
8,1,6,48,408
9,1,10,88,752
10,1,10,88,752
11,1,6,48,408
12,1,10,88,752
13,1,10,88,752
14,1,6,48,408
15,1,10,88,752
16,1,10,88,752
17,1,6,48,408
18,1,10,88,752
19,1,10,88,752
20,1,10,88,752
21,1,10,88,752
22,1,10,88,752
23,1,14,120,1024
24,1,2,16,136
25,1,2,16,136
26,1,2,16,136
27,1,2,16,136
28,1,2,16,136
29,1,2,16,136
30,1,14,120,1024
31,1,2,16,136
32,1,2,16,136
33,1,2,16,136
34,1,2,16,136
35,1,2,16,136
36,1,2,16,136
37,1,14,120,1024
38,1,2,16,136
39,1,2,16,136
40,1,2,16,136
41,1,2,16,136
42,1,2,16,136
43,1,2,16,136
44,1,14,120,1024
45,1,2,16,136
46,1,2,16,136
47,1,2,16,136
48,1,2,16,136
49,1,2,16,136
50,1,2,16,136
51,1,14,120,1024
52,1,2,16,136
53,1,2,16,136
54,1,2,16,136
55,1,2,16,136
56,1,2,16,136
57,1,2,16,136
58,1,2,12,100
59,1,2,12,100
60,1,14,120,1024
61,1,2,16,136
62,1,2,16,136
63,1,2,16,136
64,1,2,16,136
65,1,2,16,136
66,1,2,16,136
67,1,14,120,1024
68,1,2,16,136
69,1,2,16,136
70,1,2,16,136
71,1,2,16,136
72,1,2,16,136
73,1,2,16,136
74,1,2,12,100
75,1,2,12,100
76,1,14,120,1024
77,1,2,16,136
78,1,2,16,136
79,1,2,16,136
80,1,2,16,136
81,1,2,16,136
82,1,2,16,136
83,1,14,120,1024
84,1,2,16,136
85,1,2,16,136
86,1,2,16,136
87,1,2,16,136
88,1,2,16,136
89,1,2,16,136
90,1,2,12,100
91,1,2,12,100
92,1,14,120,1024
93,1,2,16,136
94,1,2,16,136
95,1,2,16,136
96,1,2,16,136
97,1,2,16,136
98,1,2,16,136
99,1,14,120,1024
100,1,2,16,136
101,1,2,16,136
102,1,2,16,136
103,1,2,16,136
104,1,2,16,136
105,1,2,16,136
106,1,2,12,100
107,1,2,12,100
108,1,14,120,1024
109,1,2,16,136
110,1,2,16,136
111,1,2,16,136
112,1,2,16,136
113,1,2,16,136
114,1,2,16,136
115,1,14,120,1024
116,1,2,16,136
117,1,2,16,136
118,1,2,16,136
119,1,2,16,136
120,1,2,16,136
121,1,2,16,136
122,1,2,12,100
123,1,2,12,100
124,1,14,120,1024
125,1,2,16,136
126,1,2,16,136
127,1,2,16,136
128,1,2,16,136
129,1,2,16,136
130,1,2,16,136
131,1,14,120,1024
132,1,2,16,136
133,1,2,16,136
134,1,2,16,136
135,1,2,16,136
136,1,2,16,136
137,1,2,16,136
138,1,2,12,100
139,1,2,12,100
140,1,14,120,1024
141,1,2,16,136
142,1,2,16,136
143,1,2,16,136
144,1,2,16,136
145,1,2,16,136
146,1,2,16,136
147,1,14,120,1024
148,1,2,16,136
149,1,2,16,136
150,1,2,16,136
151,1,2,16,136
152,1,2,16,136
153,1,2,16,136
154,1,2,12,100
155,1,2,12,100
156,1,14,120,1024
157,1,2,16,136
158,1,2,16,136
159,1,2,16,136
160,1,2,16,136
161,1,2,16,136
162,1,2,16,136
163,1,14,120,1024
164,1,2,16,136
165,1,2,16,136
166,1,2,16,136
167,1,2,16,136
168,1,2,16,136
169,1,2,16,136
170,1,2,12,100
171,1,2,12,100
172,1,14,120,1024
173,1,2,16,136
174,1,2,16,136
175,1,2,16,136
176,1,2,16,136
177,1,2,16,136
178,1,2,16,136
179,1,14,120,1024
180,1,2,16,136
181,1,2,16,136
182,1,2,16,136
183,1,2,16,136
184,1,2,16,136
185,1,2,16,136
186,1,2,12,100
187,1,2,12,100
188,1,14,120,1024
189,1,2,16,136
190,1,2,16,136
191,1,2,16,136
192,1,2,16,136
193,1,2,16,136
194,1,2,16,136
195,1,14,120,1024
196,1,2,16,136
197,1,2,16,136
198,1,2,16,136
199,1,2,16,136
200,1,2,16,136
201,1,2,16,136
202,1,2,12,100
203,1,2,12,100
204,1,14,120,1024
205,1,2,16,136
206,1,2,16,136
207,1,2,16,136
208,1,2,16,136
209,1,2,16,136
210,1,2,16,136
211,1,14,120,1024
212,1,2,16,136
213,1,2,16,136
214,1,2,16,136
215,1,2,16,136
216,1,2,16,136
217,1,2,16,136
218,1,2,12,100
219,1,2,12,100
220,1,14,120,1024
221,1,2,16,136
222,1,2,16,136
223,1,2,16,136
224,1,2,16,136
225,1,2,16,136
226,1,2,16,136
227,1,14,120,1024
228,1,2,16,136
229,1,2,16,136
230,1,2,16,136
231,1,2,16,136
232,1,2,16,136
233,1,2,16,136
234,1,2,12,100
235,1,2,12,100
