row_index_0based,col_index_0based,row_vertex,col_vertex,value
0,0,0,0,5
0,1,0,1,1
0,3,0,3,1
0,6,0,6,1
0,8,0,8,1
0,23,0,23,1
1,0,1,0,1
1,1,1,1,3
1,2,1,2,1
1,4,1,4,1
2,1,2,1,1
2,2,2,2,5
2,5,2,5,1
2,11,2,11,1
2,14,2,14,1
2,30,2,30,1
3,0,3,0,1
3,3,3,3,3
3,4,3,4,1
3,20,3,20,1
4,1,4,1,1
4,3,4,3,1
4,4,4,4,5
4,5,4,5,1
4,17,4,17,1
4,37,4,37,1
5,2,5,2,1
5,4,5,4,1
5,5,5,5,3
5,21,5,21,1
6,0,6,0,1
6,6,6,6,3
6,7,6,7,1
6,22,6,22,1
7,6,7,6,1
7,7,7,7,5
7,44,7,44,1
7,51,7,51,1
7,58,7,58,1
7,59,7,59,1
8,0,8,0,1
8,8,8,8,3
8,9,8,9,1
8,10,8,10,1
9,8,9,8,1
9,9,9,9,5
9,60,9,60,1
9,67,9,67,1
9,74,9,74,1
9,75,9,75,1
10,8,10,8,1
10,10,10,10,5
10,76,10,76,1
10,83,10,83,1
10,90,10,90,1
10,91,10,91,1
11,2,11,2,1
11,11,11,11,3
11,12,11,12,1
11,13,11,13,1
12,11,12,11,1
12,12,12,12,5
12,92,12,92,1
12,99,12,99,1
12,106,12,106,1
12,107,12,107,1
13,11,13,11,1
13,13,13,13,5
13,108,13,108,1
13,115,13,115,1
13,122,13,122,1
13,123,13,123,1
14,2,14,2,1
14,14,14,14,3
14,15,14,15,1
14,16,14,16,1
15,14,15,14,1
15,15,15,15,5
15,124,15,124,1
15,131,15,131,1
15,138,15,138,1
15,139,15,139,1
16,14,16,14,1
16,16,16,16,5
16,140,16,140,1
16,147,16,147,1
16,154,16,154,1
16,155,16,155,1
17,4,17,4,1
17,17,17,17,3
17,18,17,18,1
17,19,17,19,1
18,17,18,17,1
18,18,18,18,5
18,156,18,156,1
18,163,18,163,1
18,170,18,170,1
18,171,18,171,1
19,17,19,17,1
19,19,19,19,5
19,172,19,172,1
19,179,19,179,1
19,186,19,186,1
19,187,19,187,1
20,3,20,3,1
20,20,20,20,5
20,188,20,188,1
20,195,20,195,1
20,202,20,202,1
20,203,20,203,1
21,5,21,5,1
21,21,21,21,5
21,204,21,204,1
21,211,21,211,1
21,218,21,218,1
21,219,21,219,1
22,6,22,6,1
22,22,22,22,5
22,220,22,220,1
22,227,22,227,1
22,234,22,234,1
22,235,22,235,1
23,0,23,0,1
23,23,23,23,7
23,24,23,24,1
23,25,23,25,1
23,26,23,26,1
23,27,23,27,1
23,28,23,28,1
23,29,23,29,1
24,23,24,23,1
24,24,24,24,1
25,23,25,23,1
25,25,25,25,1
26,23,26,23,1
26,26,26,26,1
27,23,27,23,1
27,27,27,27,1
28,23,28,23,1
28,28,28,28,1
29,23,29,23,1
29,29,29,29,1
30,2,30,2,1
30,30,30,30,7
30,31,30,31,1
30,32,30,32,1
30,33,30,33,1
30,34,30,34,1
30,35,30,35,1
30,36,30,36,1
31,30,31,30,1
31,31,31,31,1
32,30,32,30,1
32,32,32,32,1
33,30,33,30,1
33,33,33,33,1
34,30,34,30,1
34,34,34,34,1
35,30,35,30,1
35,35,35,35,1
36,30,36,30,1
36,36,36,36,1
37,4,37,4,1
37,37,37,37,7
37,38,37,38,1
37,39,37,39,1
37,40,37,40,1
37,41,37,41,1
37,42,37,42,1
37,43,37,43,1
38,37,38,37,1
38,38,38,38,1
39,37,39,37,1
39,39,39,39,1
40,37,40,37,1
40,40,40,40,1
41,37,41,37,1
41,41,41,41,1
42,37,42,37,1
42,42,42,42,1
43,37,43,37,1
43,43,43,43,1
44,7,44,7,1
44,44,44,44,7
44,45,44,45,1
44,46,44,46,1
44,47,44,47,1
44,48,44,48,1
44,49,44,49,1
44,50,44,50,1
45,44,45,44,1
45,45,45,45,1
46,44,46,44,1
46,46,46,46,1
47,44,47,44,1
47,47,47,47,1
48,44,48,44,1
48,48,48,48,1
49,44,49,44,1
49,49,49,49,1
50,44,50,44,1
50,50,50,50,1
51,7,51,7,1
51,51,51,51,7
51,52,51,52,1
51,53,51,53,1
51,54,51,54,1
51,55,51,55,1
51,56,51,56,1
51,57,51,57,1
52,51,52,51,1
52,52,52,52,1
53,51,53,51,1
53,53,53,53,1
54,51,54,51,1
54,54,54,54,1
55,51,55,51,1
55,55,55,55,1
56,51,56,51,1
56,56,56,56,1
57,51,57,51,1
57,57,57,57,1
58,7,58,7,1
58,58,58,58,1
59,7,59,7,1
59,59,59,59,1
60,9,60,9,1
60,60,60,60,7
60,61,60,61,1
60,62,60,62,1
60,63,60,63,1
60,64,60,64,1
60,65,60,65,1
60,66,60,66,1
61,60,61,60,1
61,61,61,61,1
62,60,62,60,1
62,62,62,62,1
63,60,63,60,1
63,63,63,63,1
64,60,64,60,1
64,64,64,64,1
65,60,65,60,1
65,65,65,65,1
66,60,66,60,1
66,66,66,66,1
67,9,67,9,1
67,67,67,67,7
67,68,67,68,1
67,69,67,69,1
67,70,67,70,1
67,71,67,71,1
67,72,67,72,1
67,73,67,73,1
68,67,68,67,1
68,68,68,68,1
69,67,69,67,1
69,69,69,69,1
70,67,70,67,1
70,70,70,70,1
71,67,71,67,1
71,71,71,71,1
72,67,72,67,1
72,72,72,72,1
73,67,73,67,1
73,73,73,73,1
74,9,74,9,1
74,74,74,74,1
75,9,75,9,1
75,75,75,75,1
76,10,76,10,1
76,76,76,76,7
76,77,76,77,1
76,78,76,78,1
76,79,76,79,1
76,80,76,80,1
76,81,76,81,1
76,82,76,82,1
