vertex,one,Q_one,Q2_one,Q3_one
0,1,10,88,752
1,1,6,48,408
2,1,6,48,408
3,1,10,88,752
4,1,6,48,408
5,1,10,88,752
6,1,6,48,408
7,1,10,88,752
8,1,10,88,752
9,1,6,48,408
10,1,10,88,752
11,1,10,88,752
12,1,6,48,408
13,1,10,88,752
14,1,10,88,752
15,1,10,88,752
16,1,10,88,752
17,1,10,88,752
18,1,6,48,408
19,1,10,88,752
20,1,6,48,408
21,1,10,88,752
22,1,10,88,752
23,1,6,48,408
24,1,10,88,752
25,1,10,88,752
26,1,6,48,408
27,1,10,88,752
28,1,10,88,752
29,1,10,88,752
30,1,6,48,408
31,1,10,88,752
32,1,10,88,752
33,1,6,48,408
34,1,10,88,752
35,1,10,88,752
36,1,6,48,408
37,1,10,88,752
38,1,10,88,752
39,1,6,48,408
40,1,10,88,752
41,1,6,48,408
42,1,10,88,752
43,1,10,88,752
44,1,6,48,408
45,1,10,88,752
46,1,10,88,752
47,1,6,48,408
48,1,10,88,752
49,1,10,88,752
50,1,10,88,752
51,1,6,48,408
52,1,10,88,752
53,1,10,88,752
54,1,6,48,408
55,1,10,88,752
56,1,10,88,752
57,1,6,48,408
58,1,10,88,752
59,1,10,88,752
60,1,6,48,408
61,1,10,88,752
62,1,6,48,408
63,1,10,88,752
64,1,10,88,752
65,1,6,48,408
66,1,10,88,752
67,1,10,88,752
68,1,6,48,408
69,1,10,88,752
70,1,10,88,752
71,1,10,88,752
72,1,6,48,408
73,1,10,88,752
74,1,10,88,752
75,1,6,48,408
76,1,10,88,752
77,1,10,88,752
78,1,6,48,408
79,1,10,88,752
80,1,10,88,752
81,1,14,120,1024
82,1,2,16,136
83,1,2,16,136
84,1,2,16,136
85,1,2,16,136
86,1,2,16,136
87,1,2,16,136
88,1,14,120,1024
89,1,2,16,136
90,1,2,16,136
91,1,2,16,136
92,1,2,16,136
93,1,2,16,136
94,1,2,16,136
95,1,14,120,1024
96,1,2,16,136
97,1,2,16,136
98,1,2,16,136
99,1,2,16,136
100,1,2,16,136
101,1,2,16,136
102,1,14,120,1024
103,1,2,16,136
104,1,2,16,136
105,1,2,16,136
106,1,2,16,136
107,1,2,16,136
108,1,2,16,136
109,1,2,12,100
110,1,2,12,100
111,1,14,120,1024
112,1,2,16,136
113,1,2,16,136
114,1,2,16,136
115,1,2,16,136
116,1,2,16,136
117,1,2,16,136
118,1,14,120,1024
119,1,2,16,136
120,1,2,16,136
121,1,2,16,136
122,1,2,16,136
123,1,2,16,136
124,1,2,16,136
125,1,2,12,100
126,1,2,12,100
127,1,14,120,1024
128,1,2,16,136
129,1,2,16,136
130,1,2,16,136
131,1,2,16,136
132,1,2,16,136
133,1,2,16,136
134,1,14,120,1024
135,1,2,16,136
136,1,2,16,136
137,1,2,16,136
138,1,2,16,136
139,1,2,16,136
140,1,2,16,136
141,1,2,12,100
142,1,2,12,100
143,1,14,120,1024
144,1,2,16,136
