row_index_0based,col_index_0based,row_vertex,col_vertex,value
0,0,0,0,5
0,1,0,1,1
0,2,0,2,1
0,4,0,4,1
0,6,0,6,1
0,81,0,81,1
1,0,1,0,1
1,1,1,1,3
1,3,1,3,1
1,15,1,15,1
2,0,2,0,1
2,2,2,2,3
2,3,2,3,1
2,16,2,16,1
3,1,3,1,1
3,2,3,2,1
3,3,3,3,5
3,9,3,9,1
3,12,3,12,1
3,88,3,88,1
4,0,4,0,1
4,4,4,4,3
4,5,4,5,1
4,17,4,17,1
5,4,5,4,1
5,5,5,5,5
5,95,5,95,1
5,102,5,102,1
5,109,5,109,1
5,110,5,110,1
6,0,6,0,1
6,6,6,6,3
6,7,6,7,1
6,8,6,8,1
7,6,7,6,1
7,7,7,7,5
7,111,7,111,1
7,118,7,118,1
7,125,7,125,1
7,126,7,126,1
8,6,8,6,1
8,8,8,8,5
8,127,8,127,1
8,134,8,134,1
8,141,8,141,1
8,142,8,142,1
9,3,9,3,1
9,9,9,9,3
9,10,9,10,1
9,11,9,11,1
10,9,10,9,1
10,10,10,10,5
10,143,10,143,1
10,150,10,150,1
10,157,10,157,1
10,158,10,158,1
11,9,11,9,1
11,11,11,11,5
11,159,11,159,1
11,166,11,166,1
11,173,11,173,1
11,174,11,174,1
12,3,12,3,1
12,12,12,12,3
12,13,12,13,1
12,14,12,14,1
13,12,13,12,1
13,13,13,13,5
13,175,13,175,1
13,182,13,182,1
13,189,13,189,1
13,190,13,190,1
14,12,14,12,1
14,14,14,14,5
14,191,14,191,1
14,198,14,198,1
14,205,14,205,1
14,206,14,206,1
15,1,15,1,1
15,15,15,15,5
15,207,15,207,1
15,214,15,214,1
15,221,15,221,1
15,222,15,222,1
16,2,16,2,1
16,16,16,16,5
16,223,16,223,1
16,230,16,230,1
16,237,16,237,1
16,238,16,238,1
17,4,17,4,1
17,17,17,17,5
17,18,17,18,1
17,39,17,39,1
17,60,17,60,1
17,239,17,239,1
18,17,18,17,1
18,18,18,18,3
18,19,18,19,1
18,29,18,29,1
19,18,19,18,1
19,19,19,19,5
19,20,19,20,1
19,23,19,23,1
19,26,19,26,1
19,246,19,246,1
20,19,20,19,1
20,20,20,20,3
20,21,20,21,1
20,22,20,22,1
21,20,21,20,1
21,21,21,21,5
21,253,21,253,1
21,260,21,260,1
21,267,21,267,1
21,268,21,268,1
22,20,22,20,1
22,22,22,22,5
22,269,22,269,1
22,276,22,276,1
22,283,22,283,1
22,284,22,284,1
23,19,23,19,1
23,23,23,23,3
23,24,23,24,1
23,25,23,25,1
24,23,24,23,1
24,24,24,24,5
24,285,24,285,1
24,292,24,292,1
24,299,24,299,1
24,300,24,300,1
25,23,25,23,1
25,25,25,25,5
25,301,25,301,1
25,308,25,308,1
25,315,25,315,1
25,316,25,316,1
26,19,26,19,1
26,26,26,26,3
26,27,26,27,1
26,28,26,28,1
27,26,27,26,1
27,27,27,27,5
27,317,27,317,1
27,324,27,324,1
27,331,27,331,1
27,332,27,332,1
28,26,28,26,1
28,28,28,28,5
28,333,28,333,1
28,340,28,340,1
28,347,28,347,1
28,348,28,348,1
29,18,29,18,1
29,29,29,29,5
29,30,29,30,1
29,33,29,33,1
29,36,29,36,1
29,349,29,349,1
30,29,30,29,1
30,30,30,30,3
30,31,30,31,1
30,32,30,32,1
31,30,31,30,1
31,31,31,31,5
31,356,31,356,1
31,363,31,363,1
31,370,31,370,1
31,371,31,371,1
32,30,32,30,1
32,32,32,32,5
32,372,32,372,1
32,379,32,379,1
32,386,32,386,1
32,387,32,387,1
33,29,33,29,1
33,33,33,33,3
33,34,33,34,1
33,35,33,35,1
34,33,34,33,1
34,34,34,34,5
34,388,34,388,1
34,395,34,395,1
34,402,34,402,1
34,403,34,403,1
35,33,35,33,1
35,35,35,35,5
35,404,35,404,1
35,411,35,411,1
35,418,35,418,1
35,419,35,419,1
36,29,36,29,1
36,36,36,36,3
36,37,36,37,1
36,38,36,38,1
37,36,37,36,1
37,37,37,37,5
37,420,37,420,1
37,427,37,427,1
37,434,37,434,1
37,435,37,435,1
38,36,38,36,1
38,38,38,38,5
38,436,38,436,1
38,443,38,443,1
38,450,38,450,1
38,451,38,451,1
39,17,39,17,1
39,39,39,39,3
39,40,39,40,1
39,50,39,50,1
40,39,40,39,1
40,40,40,40,5
40,41,40,41,1
40,44,40,44,1
40,47,40,47,1
40,452,40,452,1
41,40,41,40,1
41,41,41,41,3
41,42,41,42,1
41,43,41,43,1
42,41,42,41,1
42,42,42,42,5
42,459,42,459,1
42,466,42,466,1
42,473,42,473,1
42,474,42,474,1
43,41,43,41,1
43,43,43,43,5
43,475,43,475,1
43,482,43,482,1
43,489,43,489,1
43,490,43,490,1
44,40,44,40,1
44,44,44,44,3
44,45,44,45,1
44,46,44,46,1
45,44,45,44,1
45,45,45,45,5
45,491,45,491,1
45,498,45,498,1
45,505,45,505,1
45,506,45,506,1
46,44,46,44,1
46,46,46,46,5
46,507,46,507,1
46,514,46,514,1
46,521,46,521,1
46,522,46,522,1
47,40,47,40,1
47,47,47,47,3
47,48,47,48,1
47,49,47,49,1
48,47,48,47,1
48,48,48,48,5
48,523,48,523,1
48,530,48,530,1
48,537,48,537,1
48,538,48,538,1
49,47,49,47,1
49,49,49,49,5
49,539,49,539,1
49,546,49,546,1
49,553,49,553,1
49,554,49,554,1
50,39,50,39,1
50,50,50,50,5
50,51,50,51,1
50,54,50,54,1
50,57,50,57,1
50,555,50,555,1
51,50,51,50,1
51,51,51,51,3
51,52,51,52,1
51,53,51,53,1
52,51,52,51,1
52,52,52,52,5
